candidate,reference,env,n_pairs,candidate_mean_mse,reference_mean_mse,mean_paired_relative_reduction,paired_wins,paired_ties
hacsmv4,hacsmv4_noaction,dmc:reacher.hard.occ,3,0.8716370264689127,0.8672902385393778,-0.005000951435511654,0,0
hacsmv4,hacsmv4_noaction,dmc:ball_in_cup.catch.occ,3,1.02847421169281,1.1196941137313843,0.08129582067600431,3,0
hacsmv4,hacsmv4_noaction,dmc:finger.spin.occ,3,1.2819419304529827,1.4521535634994507,0.11724879796568831,3,0
hacsmv4,hacsmv4_noaction,dmc:cheetah.run.occ,3,0.6065690914789835,0.7938139239947001,0.23568440911421104,3,0
hacsmv4,hacsmv4_noaction,ogbench:cube-single.occ,3,1.577357292175293,1.8291719357172649,0.13767089542595295,3,0
hacsmv4,hacsmv4_noaction,__overall__,15,,,0.113379794349269,12,0
hacsmv4,hacsmv4_noaux,dmc:reacher.hard.occ,3,0.8716370264689127,0.8695527911186218,-0.002402730740723521,0,0
hacsmv4,hacsmv4_noaux,dmc:ball_in_cup.catch.occ,3,1.02847421169281,1.0494932730992634,0.020008499712230215,3,0
hacsmv4,hacsmv4_noaux,dmc:finger.spin.occ,3,1.2819419304529827,1.2875487804412842,0.004363399681519055,3,0
hacsmv4,hacsmv4_noaux,dmc:cheetah.run.occ,3,0.6065690914789835,0.5875890453656515,-0.03245815085987246,0,0
hacsmv4,hacsmv4_noaux,ogbench:cube-single.occ,3,1.577357292175293,1.5435388088226318,-0.021908834957920693,0,0
hacsmv4,hacsmv4_noaux,__overall__,15,,,-0.006479563432953481,6,0
hacsmv4,hacsmv4_single,dmc:reacher.hard.occ,3,0.8716370264689127,0.8914193908373514,0.022208919613637027,3,0
hacsmv4,hacsmv4_single,dmc:ball_in_cup.catch.occ,3,1.02847421169281,0.9835660457611084,-0.045675637079597445,0,0
hacsmv4,hacsmv4_single,dmc:finger.spin.occ,3,1.2819419304529827,1.3142364422480266,0.024487111512503178,3,0
hacsmv4,hacsmv4_single,dmc:cheetah.run.occ,3,0.6065690914789835,0.6094909310340881,0.004779080498754309,3,0
hacsmv4,hacsmv4_single,ogbench:cube-single.occ,3,1.577357292175293,1.627027153968811,0.030519138805081635,3,0
hacsmv4,hacsmv4_single,__overall__,15,,,0.007263722670075742,12,0
hacsmv4,hacsmv4_static,dmc:reacher.hard.occ,3,0.8716370264689127,0.8978517850240072,0.028978952396569144,3,0
hacsmv4,hacsmv4_static,dmc:ball_in_cup.catch.occ,3,1.02847421169281,0.9804307421048483,-0.04907594277052893,0,0
hacsmv4,hacsmv4_static,dmc:finger.spin.occ,3,1.2819419304529827,1.4235196908315022,0.09895486306004393,3,0
hacsmv4,hacsmv4_static,dmc:cheetah.run.occ,3,0.6065690914789835,0.6046813726425171,-0.005460755319915491,2,0
hacsmv4,hacsmv4_static,ogbench:cube-single.occ,3,1.577357292175293,1.6908224026362102,0.0670570324640257,3,0
hacsmv4,hacsmv4_static,__overall__,15,,,0.02809082996603887,11,0
hacsmv4,multi,dmc:reacher.hard.occ,3,0.8716370264689127,0.8478936155637106,-0.028003930512014,0,0
hacsmv4,multi,dmc:ball_in_cup.catch.occ,3,1.02847421169281,1.2127199172973633,0.151450703629698,3,0
hacsmv4,multi,dmc:finger.spin.occ,3,1.2819419304529827,1.4753787914911907,0.13110868297842038,3,0
hacsmv4,multi,dmc:cheetah.run.occ,3,0.6065690914789835,0.7822946707407633,0.22422143930563063,3,0
hacsmv4,multi,ogbench:cube-single.occ,3,1.577357292175293,1.8887643814086914,0.16488530374783505,3,0
hacsmv4,multi,__overall__,15,,,0.128732439829914,12,0
hacsmv4,none,dmc:reacher.hard.occ,3,0.8716370264689127,1.17677636941274,0.25930285161830846,3,0
hacsmv4,none,dmc:ball_in_cup.catch.occ,3,1.02847421169281,1.157728950182597,0.11165705242064826,3,0
hacsmv4,none,dmc:finger.spin.occ,3,1.2819419304529827,1.8149598836898804,0.29367973565084593,3,0
hacsmv4,none,dmc:cheetah.run.occ,3,0.6065690914789835,0.6352881193161011,0.04510300926032458,3,0
hacsmv4,none,ogbench:cube-single.occ,3,1.577357292175293,2.224398136138916,0.2908583615406003,3,0
hacsmv4,none,__overall__,15,,,0.2001202020981455,15,0
hacsmv4,smtv3,dmc:reacher.hard.occ,3,0.8716370264689127,0.8711605469385783,-0.0005850237140226786,1,0
hacsmv4,smtv3,dmc:ball_in_cup.catch.occ,3,1.02847421169281,1.171223521232605,0.12147320024712499,3,0
hacsmv4,smtv3,dmc:finger.spin.occ,3,1.2819419304529827,1.4286326169967651,0.10261299882443652,3,0
hacsmv4,smtv3,dmc:cheetah.run.occ,3,0.6065690914789835,0.8354556361834208,0.27387519561267043,3,0
hacsmv4,smtv3,ogbench:cube-single.occ,3,1.577357292175293,1.8074623346328735,0.1272090406435897,3,0
hacsmv4,smtv3,__overall__,15,,,0.12491708232275979,13,0
hacsmv4,ssm,dmc:reacher.hard.occ,3,0.8716370264689127,0.8189797004063925,-0.06457017805507251,0,0
hacsmv4,ssm,dmc:ball_in_cup.catch.occ,3,1.02847421169281,0.9775559902191162,-0.05291949780922504,0,0
hacsmv4,ssm,dmc:finger.spin.occ,3,1.2819419304529827,1.2022446393966675,-0.06630421602500723,0,0
hacsmv4,ssm,dmc:cheetah.run.occ,3,0.6065690914789835,0.6563953757286072,0.07579711580318672,3,0
hacsmv4,ssm,ogbench:cube-single.occ,3,1.577357292175293,1.48313041528066,-0.0635080390742806,0,0
hacsmv4,ssm,__overall__,15,,,-0.03430096303207973,3,0
