metric,candidate,reference,n_pairs,candidate_mean_mse,reference_mean_mse,mean_paired_relative_reduction,paired_wins,paired_ties,environment_mean_wins
clean_mse_pre,hacssmv6,ssm,25,0.41412426710128786,0.4296769094467163,0.03408741666800653,16,0,3
clean_mse_blackout_transition,hacssmv6,ssm,25,0.6656671524047851,0.7418165814876556,0.09369302119673634,19,0,4
clean_mse_deep_blackout,hacssmv6,ssm,25,1.006593999862671,0.9789591097831726,-0.03141440412821197,9,0,2
clean_mse_first_post,hacssmv6,ssm,25,0.9704457783699035,1.0226978754997254,0.05187175345373103,19,0,4
clean_mse_recovery,hacssmv6,ssm,25,0.462392150759697,0.4725182729959488,0.02095050845970318,18,0,3
clean_mse_late_post,hacssmv6,ssm,25,0.4315935438871384,0.45109199941158296,0.04284624926578134,19,0,4
clean_mse_all,hacssmv6,ssm,25,0.5317792820930481,0.551792961359024,0.03348646273051435,22,0,5
clean_mse_pre,hacssmv6,hacsmv4_two_noaux,25,0.41412426710128786,0.414199378490448,0.00016320086828585978,15,0,3
clean_mse_blackout_transition,hacssmv6,hacsmv4_two_noaux,25,0.6656671524047851,0.6652693593502045,-0.0028906677590530196,17,0,4
clean_mse_deep_blackout,hacssmv6,hacsmv4_two_noaux,25,1.006593999862671,1.010841462612152,0.002898742955707344,14,0,3
clean_mse_first_post,hacssmv6,hacsmv4_two_noaux,25,0.9704457783699035,0.974041554927826,0.003944414969626123,15,0,5
clean_mse_recovery,hacssmv6,hacsmv4_two_noaux,25,0.462392150759697,0.4626441979408264,0.0009525620959145481,14,0,3
clean_mse_late_post,hacssmv6,hacsmv4_two_noaux,25,0.4315935438871384,0.4315996235609055,-0.00022382853638246866,10,0,2
clean_mse_all,hacssmv6,hacsmv4_two_noaux,25,0.5317792820930481,0.5323397672176361,-0.00020506319121238695,14,0,3
clean_mse_pre,hacssmv6,hacssmv6_noaux,25,0.41412426710128786,0.414199378490448,0.00016320086828585978,15,0,3
clean_mse_blackout_transition,hacssmv6,hacssmv6_noaux,25,0.6656671524047851,0.6652693593502045,-0.0028906677590530196,17,0,4
clean_mse_deep_blackout,hacssmv6,hacssmv6_noaux,25,1.006593999862671,1.010841462612152,0.002898742955707344,14,0,3
clean_mse_first_post,hacssmv6,hacssmv6_noaux,25,0.9704457783699035,0.974041554927826,0.003944414969626123,15,0,5
clean_mse_recovery,hacssmv6,hacssmv6_noaux,25,0.462392150759697,0.4626441979408264,0.0009525620959145481,14,0,3
clean_mse_late_post,hacssmv6,hacssmv6_noaux,25,0.4315935438871384,0.4315996235609055,-0.00022382853638246866,10,0,2
clean_mse_all,hacssmv6,hacssmv6_noaux,25,0.5317792820930481,0.5323397672176361,-0.00020506319121238695,14,0,3
clean_mse_pre,hacssmv6,hacssmv6_static,25,0.41412426710128786,0.42681872367858886,0.034742127133890785,20,0,4
clean_mse_blackout_transition,hacssmv6,hacssmv6_static,25,0.6656671524047851,0.6415128791332245,-0.055698267253008846,12,0,3
clean_mse_deep_blackout,hacssmv6,hacssmv6_static,25,1.006593999862671,0.9744806909561157,-0.04899987713492813,11,0,2
clean_mse_first_post,hacssmv6,hacssmv6_static,25,0.9704457783699035,0.9667622780799866,-0.012493664253165653,12,0,2
clean_mse_recovery,hacssmv6,hacssmv6_static,25,0.462392150759697,0.46779196739196777,0.012401385430767861,17,0,3
clean_mse_late_post,hacssmv6,hacssmv6_static,25,0.4315935438871384,0.4458768063783646,0.03654480045113942,20,0,4
clean_mse_all,hacssmv6,hacssmv6_static,25,0.5317792820930481,0.535670902132988,0.00042769913037172744,15,0,3
