design,n_runs,rho_fast_learned_mean,rho_fast_learned_population_std,rho_medium_learned_mean,rho_medium_learned_population_std,rho_fast_functional_mean,rho_fast_functional_population_std,rho_medium_functional_mean,rho_medium_functional_population_std,static_gate_fast_mean,static_gate_fast_population_std,static_gate_medium_mean,static_gate_medium_population_std,route_fast_learned_mean,route_fast_learned_population_std,route_medium_learned_mean,route_medium_learned_population_std,route_fast_functional_mean,route_fast_functional_population_std,route_medium_functional_mean,route_medium_functional_population_std,action_head_fast_l2_mean,action_head_fast_l2_population_std,action_head_medium_l2_mean,action_head_medium_l2_population_std,action_head_fast_d_l2_mean,action_head_fast_d_l2_population_std,action_head_fast_v_l2_mean,action_head_fast_v_l2_population_std,action_head_medium_d_l2_mean,action_head_medium_d_l2_population_std,action_head_medium_v_l2_mean,action_head_medium_v_l2_population_std,action_head_cosine_mean,action_head_cosine_population_std,infl_all_mean,infl_all_population_std,infl_fast_mean,infl_fast_population_std,infl_slow_mean,infl_slow_population_std,student_teacher_memory_total_l2_mean,student_teacher_memory_total_l2_population_std,student_memory_total_delta_l2_vs_noaux_mean,student_memory_total_delta_l2_vs_noaux_population_std,teacher_memory_total_delta_l2_vs_noaux_mean,teacher_memory_total_delta_l2_vs_noaux_population_std,student_teacher_action_l2_mean,student_teacher_action_l2_population_std,student_action_delta_l2_vs_noaux_mean,student_action_delta_l2_vs_noaux_population_std,teacher_action_delta_l2_vs_noaux_mean,teacher_action_delta_l2_vs_noaux_population_std,student_teacher_gate_l2_mean,student_teacher_gate_l2_population_std,student_gate_delta_l2_vs_noaux_mean,student_gate_delta_l2_vs_noaux_population_std,teacher_gate_delta_l2_vs_noaux_mean,teacher_gate_delta_l2_vs_noaux_population_std,student_teacher_shrink_l2_mean,student_teacher_shrink_l2_population_std,student_shrink_delta_l2_vs_noaux_mean,student_shrink_delta_l2_vs_noaux_population_std,teacher_shrink_delta_l2_vs_noaux_mean,teacher_shrink_delta_l2_vs_noaux_population_std,student_teacher_route_l2_mean,student_teacher_route_l2_population_std,student_route_delta_l2_vs_noaux_mean,student_route_delta_l2_vs_noaux_population_std,teacher_route_delta_l2_vs_noaux_mean,teacher_route_delta_l2_vs_noaux_population_std,student_teacher_input_l2_mean,student_teacher_input_l2_population_std,student_input_delta_l2_vs_noaux_mean,student_input_delta_l2_vs_noaux_population_std,teacher_input_delta_l2_vs_noaux_mean,teacher_input_delta_l2_vs_noaux_population_std,student_teacher_output_l2_mean,student_teacher_output_l2_population_std,student_output_delta_l2_vs_noaux_mean,student_output_delta_l2_vs_noaux_population_std,teacher_output_delta_l2_vs_noaux_mean,teacher_output_delta_l2_vs_noaux_population_std,predictor_delta_l2_vs_noaux_mean,predictor_delta_l2_vs_noaux_population_std,active_aux_epochs_mean,active_aux_epochs_population_std,active_train_hier_loss_mean_mean,active_train_hier_loss_mean_population_std,active_train_hier_loss_fast_mean_mean,active_train_hier_loss_fast_mean_population_std,active_train_hier_loss_medium_mean_mean,active_train_hier_loss_medium_mean_population_std,active_train_hier_loss_bridge_mean_mean,active_train_hier_loss_bridge_mean_population_std,active_train_hier_loss_recovery_mean_mean,active_train_hier_loss_recovery_mean_population_std,active_weighted_aux_term_mean_mean,active_weighted_aux_term_mean_population_std,final_val_hier_loss_mean,final_val_hier_loss_population_std,final_val_bridge_mean,final_val_bridge_population_std,final_val_recovery_mean,final_val_recovery_population_std
hacssmv7_noaux,25,0.6171532038233793,0.012057646147737383,0.5447384476637931,0.018061411708792573,0.6171532038233793,0.012057646147737383,0.5447384476637931,0.018061411708792573,0.8418593908082258,0.003176671022365984,0.880776504463145,0.01254897107106149,0.5504241177822374,0.0453004945272316,0.4495758822177626,0.04530049452723159,0.5504241177822374,0.0453004945272316,0.4495758822177626,0.04530049452723159,3.843426010416508,0.40657826103106165,3.6517610712690063,0.2507964968585598,3.0413556662928825,0.19508085536322656,2.2730045117682227,0.6948230280794068,2.9849101313074575,0.29371514361038054,1.983832189841087,0.6831621838587367,0.7564763471911974,0.03970923347051736,2.39601056098938,0.3450108429418729,0.6090695428848266,0.2227363263711673,0.39561520516872406,0.18595870024249608,0.27733548230116817,0.030031772851723152,0.0,0.0,0.0,0.0,0.16413977878022518,0.027205878810153995,0.0,0.0,0.0,0.0,0.07969565205397365,0.009140260631861406,0.0,0.0,0.0,0.0,0.010856797461863976,0.0015355364432103748,0.0,0.0,0.0,0.0,0.005085337746938729,0.003622224427924075,0.0,0.0,0.0,0.0,0.05475752930019869,0.007615896779624273,0.0,0.0,0.0,0.0,0.2002372190907877,0.019732386630193888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0842594274620215,0.036871521427729655,0.10316318595608075,0.04238668636932159,0.06535566858649254,0.03137093185129005
hacssmv7_sharedaction,25,0.6175754032501172,0.013975583413800056,0.5423448635184845,0.017320365146395206,0.6175754032501172,0.013975583413800056,0.5423448635184845,0.017320365146395206,0.8373643516738554,0.0037474566404272556,0.8818209653089335,0.013147826601460556,0.5555459823570228,0.04896750680551747,0.44445401764297726,0.04896750680551749,0.5555459823570228,0.04896750680551747,0.44445401764297726,0.04896750680551749,3.8594936108314837,0.38109429503176573,3.8594936108314837,0.38109429503176573,3.1316365915472995,0.20157885996127925,2.159441680340615,0.7279791512545063,3.1316365915472995,0.20157885996127925,2.159441680340615,0.7279791512545063,1.0000000000000009,5.216866993716143e-16,2.386191701889038,0.3460399725542773,0.6034110867977143,0.21225634372772126,0.38928653836250304,0.17379786236320183,0.28259466979785186,0.030610275425584248,2.31876362174419,0.6097818369105154,2.2674846161656212,0.604876985362748,0.17021811549490629,0.025719819887540688,2.19024902274564,0.5381539128479463,2.1456369635848014,0.5363231580771449,0.08187315975796362,0.00965142326157094,0.44754481999455775,0.27416015321054144,0.43730281910268265,0.27000715647740936,0.011134581350590053,0.001678267423075646,0.025356500193685183,0.013950622031339885,0.02449517752011554,0.013955563590954366,0.005816460339779103,0.004110267952650782,0.01646868934015468,0.014148333740231113,0.01582536790506917,0.013566672556375546,0.05592907627704016,0.008935313346596625,0.19158951204570931,0.13875575845426288,0.18394999065912726,0.1350812437181695,0.20144664879147098,0.019961999357105256,0.5020649346706766,0.27730882747701624,0.47698499162332847,0.2664508029290759,3.604566089017424,1.6189619385631877,99.0,0.0,0.08828729697884667,0.03687961228370817,0.06432421640297513,0.029005661016006865,0.11225037752862865,0.04521644978876463,0.10764570097329239,0.04157400855832312,0.06892889289651588,0.03220463198830181,0.0013268859194480506,0.0005308982160955383,0.08257535195151965,0.037579130502994135,0.10079488002260527,0.042731398367605304,0.06435582393010457,0.03244325994842075
hacssmv7_noshrink,25,0.5,0.0,0.5,0.0,1.0,0.0,1.0,0.0,0.8493585996833024,0.002404200550230478,0.8811299510126852,0.011746152820200582,0.5789632370952934,0.04464333804685554,0.4210367629047066,0.04464333804685552,0.5789632370952934,0.04464333804685554,0.4210367629047066,0.04464333804685552,3.897777942449994,0.3874496231619135,3.373343847712229,0.2844022155834913,3.0670341040886684,0.18043536196526305,2.3288730946999494,0.69273739066849,2.740272018443861,0.30586409363416417,1.860860267984217,0.6284017976767843,0.7553741994298249,0.06521414118571757,2.4759344959259035,0.3893572838208353,0.6811560785770416,0.263056775385842,0.39740458250045774,0.19143064000331925,0.25101110771386437,0.05007695792981971,1.8183187034106265,0.6607815595889591,1.7587577895323752,0.6598350891064849,0.14211965915460262,0.038657831267508554,1.0590660616872651,0.5125335492969135,1.0356804203653907,0.5130169780432549,0.031716788465537694,0.01159032768679101,1.0259472189204892,0.38681124551544915,0.980071352096221,0.38241218394696,0.0,0.0,0.5145093295723947,0.06169101222470975,0.5037318107259396,0.061130559190579005,0.00769630245374814,0.0030011284852875133,0.08278149781074538,0.03003997223079576,0.08017053310393597,0.029662800350913836,0.069352474072142,0.014707641557051438,0.4145474437331563,0.200343131337962,0.40029959618378624,0.19865911883167087,0.19084487755142326,0.034139047978866674,0.7579991463138399,0.3059125890101418,0.7298088303320117,0.29815432413405246,6.00621659130748,1.890607342855859,99.0,0.0,0.09044037477285774,0.03722448990782914,0.0645754845768598,0.029422388440968113,0.11630526494983204,0.04552743041931648,0.10870759700885926,0.04139723746472649,0.07217315250625113,0.03308893649168636,0.0013452839160956473,0.0005345468006623251,0.08493278708259265,0.03745800684225859,0.1007354174276193,0.042440329543893665,0.0691301569322745,0.03250543376973583
hacssmv7_actiononly,25,0.6175159070031773,0.011848035381731384,0.546173899537201,0.0186679861499021,0.6175159070031773,0.011848035381731384,0.546173899537201,0.0186679861499021,0.8416158089982625,0.0032438397992754133,0.8804687641947353,0.012902693475041593,0.5498888816859374,0.04561750090011092,0.45011111831406253,0.04561750090011092,0.5498888816859374,0.04561750090011092,0.45011111831406253,0.04561750090011092,3.822305454064936,0.4121690261741547,3.652310158644411,0.31015334811869644,3.0076856328194257,0.2275816380762759,2.272319862509308,0.7200683751559454,2.9967577935322263,0.29297467157151774,1.9713331594205628,0.6949954946449444,0.7405451664491904,0.04981935309794933,2.389914150238037,0.3511144774552837,0.6074352991580964,0.22183150459646267,0.39787432074546814,0.1889817052119219,0.2801319219149759,0.029962618829082324,1.1798661808731197,1.0392215169055727,1.1558548900276933,1.0241833528679576,0.16715680093295426,0.025814150675659318,0.8896331217602035,0.8009582719384961,0.8791975694608076,0.7911295395993376,0.08123802139150821,0.009562284400790938,0.5920971283669494,0.6442857574942134,0.579200898920614,0.6334412945553719,0.01099137086816653,0.001547845124081997,0.009332506475268284,0.00880076864446471,0.009231863564327602,0.008391853092235491,0.004980969453287642,0.003660164593820052,0.004215074551387447,0.004047435500284399,0.004044453308485417,0.003960710702742609,0.05545583839997224,0.008580091318835631,0.1516506560934571,0.1438789469535959,0.14634808718882916,0.14141430392983254,0.20094454202365772,0.01958934553889521,0.39753676093828855,0.26733486034755954,0.3768954093868767,0.2563251541112987,3.1968184191969105,1.6549318305148957,99.0,0.0,0.0849344650730407,0.036453369379008525,0.05714936198969816,0.02604886244534771,0.1127195681066291,0.04774112937997653,0.08493446512438366,0.036453369341363825,0.0,0.0,0.001199776510651893,0.0004954569151861804,0.09038016258279483,0.041964748359703104,0.09038016224304835,0.04196474758026935,0.0,0.0
hacssmv7_uniform,25,0.6127778264198979,0.012442263885810339,0.5458097993889132,0.01768426217096115,0.6127778264198979,0.012442263885810339,0.5458097993889132,0.01768426217096115,0.8415089945092051,0.002937351175262081,0.8800201991159777,0.012981147253373402,0.5476044792118904,0.046171778178046484,0.4523955207881097,0.04617177817804649,0.5476044792118904,0.046171778178046484,0.4523955207881097,0.04617177817804649,3.818107352137985,0.4188820554528672,3.6728488406710085,0.24339971508310515,2.943355937568017,0.20845737626249797,2.3551107060269127,0.7071497990191563,3.0058119258585863,0.29840817814219095,1.9854893643183702,0.6949397365841892,0.7150953707052109,0.06844284828552874,2.3863663196563722,0.3585853367950493,0.6091317737102508,0.22305120530719136,0.4008839195966721,0.189035386912232,0.2774916142659565,0.029960685762919895,1.0655902499624956,0.7368415967759325,1.0456972433140581,0.7284250754718496,0.16696412379265918,0.025933518341980412,0.8473971823302622,0.6363782677294536,0.839275382175942,0.6309242963657321,0.07725558039335617,0.01045202634537781,0.4587598996883152,0.2902480626831525,0.4499001485102989,0.2864117887291232,0.010478427574894247,0.0016299769291942487,0.021305660746167666,0.019768474020924763,0.020931507772263512,0.019418190677755118,0.004617890711611869,0.003890282356424157,0.008494753082919628,0.010198388176222751,0.008034618525809407,0.009614775788441813,0.055083784315243946,0.008261718846055251,0.14636315154504784,0.1214783625148229,0.14069216288320896,0.11863169481765705,0.19903180289820752,0.020173045800477126,0.40240184778415955,0.2480462625310233,0.38142919519012297,0.238468312814161,3.291878683990653,1.5796560290356654,99.0,0.0,0.10620718449136758,0.03414149189118394,0.13903679535746172,0.038296799843196276,0.07337757367519485,0.03067545666665609,0.14307629143382297,0.03697419756781921,0.06933807756145528,0.031620696896617895,0.001578599595941505,0.00048860564878668,0.1010853320658207,0.03612876578021745,0.13709188990592958,0.040845371480797275,0.06507877472837766,0.03157430466078679
hacssmv7_norecovery,25,0.6143844586022587,0.013210635838643651,0.5456978763867902,0.017413033920195015,0.6143844586022587,0.013210635838643651,0.5456978763867902,0.017413033920195015,0.8403167941068485,0.0033696713703662644,0.8798314521289552,0.013276847937808284,0.5527870803758532,0.04435352524887586,0.4472129196241468,0.044353525248875855,0.5527870803758532,0.04435352524887586,0.4472129196241468,0.044353525248875855,3.9294818438668506,0.43212546899739074,3.5912197632176426,0.21483206344475697,3.104773491063128,0.22346150080167598,2.323543271417037,0.7342705052902501,2.9249180983051173,0.3124469846572998,1.9563056304718303,0.680522948458662,0.746614925850525,0.05411430632065997,2.3825487995147707,0.3437098881572353,0.6076630985736847,0.22211906847081264,0.3902678000926971,0.1836252867287296,0.27953515478390983,0.0301087941691406,0.8619046936982576,0.5623405104413948,0.8429777228842,0.5565965726185991,0.16695446883396917,0.02665724577897346,0.676114693745382,0.47973642151390106,0.6680151948732742,0.4764744031516768,0.0796807825729283,0.010638006773879573,0.3370685460733478,0.23583184517543432,0.330976359777439,0.23209510978145326,0.010790493270103684,0.0017140662269510643,0.01771740370485877,0.01665426387722854,0.01746552384018802,0.016366921627701526,0.005199841224960133,0.0036469135501247473,0.00928247712841085,0.010974214507091472,0.009032811446760164,0.010879954542534839,0.055476300161598956,0.008983450502314779,0.12923161908535477,0.09491301424639964,0.12403508485852573,0.09276682291467289,0.20070071275518456,0.020025860092377498,0.3706333162754799,0.19677489190242295,0.35105289020048813,0.18900829242593586,3.2536331810907955,1.4982860760326409,99.0,0.0,0.1083690895901117,0.04138121800459441,0.08688771634273791,0.036985209101320124,0.12985046290722493,0.04646300369925052,0.10836908966118906,0.04138121799847199,0.0,0.0,0.0016096652108592148,0.0005900438828790575,0.10182531056205432,0.04106513406045484,0.10182531151771546,0.041065134892365275,0.0,0.0
hacssmv7_noaction,25,0.6197173875080304,0.01665648870553038,0.563965791167844,0.020746044667406857,0.6197173875080304,0.01665648870553038,0.563965791167844,0.020746044667406857,0.8403230067565146,0.0052137400760294255,0.8804792780433393,0.01184140214572954,0.5017457327871642,0.05365902899190169,0.49825426721283583,0.0536590289919017,0.5017457327871642,0.05365902899190169,0.49825426721283583,0.0536590289919017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.3116838932037354,0.350817533619651,0.5137491941452026,0.15750535011594186,0.42304420590400693,0.17989948498610125,0.23117677080947624,0.019334416329841116,5.796602892866631,0.7535884711040615,5.66416596861018,0.7558114847588008,0.0,0.0,5.304884741770482,0.44009664948990573,5.199683835210972,0.44951705334898373,0.08426286630419008,0.006395766724831395,0.782405990767092,0.2997660990871374,0.7606397009183233,0.2945897943432586,0.012156011563186658,0.0018350885976487611,0.08283709298663886,0.0246538690086806,0.08067350785204105,0.024126019099139084,0.0032704394220805454,0.0026664331490139077,0.13913121868874642,0.042255754271554556,0.13408811806359974,0.041863475034643646,0.06363378249627062,0.012174578795639367,0.7904659142435199,0.49168411639959025,0.7619984377627438,0.48328048853910954,0.2047203736120095,0.0199632343172288,1.8817389325167604,0.8335770896532778,1.8024750359903805,0.8123750936398301,10.67827561998435,4.54490314526713,99.0,0.0,0.08700301369666785,0.03541704074493674,0.0640589959315295,0.028458117517547333,0.10994703137780948,0.04285895601694017,0.10641316774066048,0.04001953514448675,0.06759285958143062,0.03083234300774352,0.0013206450738349766,0.0005206205257976686,0.075340599522988,0.03222167028712319,0.09203875921169917,0.036605248504454485,0.05864244039058685,0.0278634407852616
hacssmv7_single,25,0.5490313990920336,0.009424967626694508,0.5620935488384259,0.020438888951046192,0.5490313990920336,0.009424967626694508,0.5620935488384259,0.020438888951046192,0.8684767501879317,0.005263203792025428,0.8825529418814597,0.013186538848739368,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0,3.059305947938464,0.6109147071684393,3.7893365510348516,0.4214659359395182,1.3060894017726017,0.32248448091289617,2.7634332953937135,0.534920852634701,2.9341427387676005,0.2368742178322356,2.2943507819068394,0.7793308124238959,-0.15328522675717504,0.054004802059325625,2.2707665491104128,0.40048634603385824,0.0,0.0,2.2707665491104128,0.40048634603385824,0.24145790676724033,0.027306099355095335,6.0531371365487,0.6916431582283745,5.957926402890148,0.6889805643305928,0.10585929932801563,0.018443506940576927,5.378042867138812,0.6540503878153933,5.302692933792695,0.655240277622748,0.07015165125457455,0.010481204921043456,1.8074488275013902,0.19230607002969,1.787420655871004,0.1947911752053039,0.006332261003430123,0.0013066787351660536,0.2942391838753759,0.09278946304607306,0.2842890198313471,0.09157487525168573,0.0,0.0,0.15571205618297704,0.11684154557469166,0.15135433730867842,0.11255845007495875,0.061263802656145054,0.01013359689979004,0.8668843609333103,0.19862342968013766,0.8535191721734876,0.19492076157917265,0.19481128562176236,0.02491775518033041,1.8351537603704673,0.41478393623068127,1.7704848233082577,0.4061816477733656,10.068879069839184,1.8780800937226463,99.0,0.0,0.0962676426253201,0.03516739499129855,0.06749819114390347,0.030956268510392168,0.1250370941332026,0.04048675791940485,0.1171156406088175,0.0380184498333769,0.07541964468012086,0.03237296996481474,0.0014118059040094714,0.0005025192583307624,0.09580554406841596,0.035981468277305896,0.11636037629445393,0.03823891811233368,0.07525071209073067,0.033788496604554935
hacssmv7,25,0.6144145029786742,0.013660842670453232,0.546014004785677,0.018105388569834013,0.6144145029786742,0.013660842670453232,0.546014004785677,0.018105388569834013,0.839985239448895,0.003573837062906884,0.8799668473094425,0.013291910946360713,0.5509105602554625,0.04529172343491033,0.4490894397445375,0.0452917234349103,0.5509105602554625,0.04529172343491033,0.4490894397445375,0.0452917234349103,3.884163666749981,0.41165142388235076,3.5999629704794955,0.21238139719405674,3.0441738078527276,0.2274839715858807,2.3253392734959606,0.7281747168621333,2.9331062717578384,0.30960133465817663,1.9591527650687488,0.683808673514633,0.7365355474840244,0.06159679992785336,2.3786676120758057,0.34124561205822623,0.607844729423523,0.22402330092528064,0.3944117224216461,0.18786085805302333,0.2775011576373357,0.029619548021020427,0.9270351722076117,0.6551772070787671,0.9074723764576784,0.6483284710504618,0.16580475214498022,0.026601437924369958,0.729038048108122,0.561369167311752,0.7206168495801897,0.557225427390591,0.07993921790124418,0.010701889819519965,0.37242369881965703,0.26962125948226884,0.3656014290207346,0.2654318951629656,0.010896043783157434,0.0017206079596383168,0.019460970390971975,0.018109861730910285,0.019149643016335063,0.01783258277575744,0.0049847478128895225,0.0038587333027567555,0.006080405716148426,0.0074540001533578756,0.005945404566164015,0.007481876542008986,0.05476223302706748,0.008470643446369481,0.1371862710709333,0.10993760017788924,0.13194049757097728,0.10778371083489816,0.1989522392315125,0.019143654825614823,0.3869018384573329,0.22186914874156063,0.36667703515939654,0.2137168599456038,3.2868397751102045,1.5575984871118114,99.0,0.0,0.0893119695085267,0.03719431844350175,0.0641585045260211,0.029269754031363174,0.11446543450608399,0.045636151704719234,0.10879422284453673,0.04175592447009575,0.06982971624518283,0.03265273580278922,0.001336594981337755,0.0005342802547262992,0.0839413902302583,0.036465489799149604,0.1022833333770434,0.04136106808424181,0.06559944733977317,0.03159188173813682
