stage,comparison_kind,candidate,reference,n_environments,n_seeds,draws,contract_sha256,point_mean_paired_relative_reduction,ci90_low,ci90_high,ci95_low,ci95_high
pilot,direct,hacssmv8,ssm,5,3,100000,b387010d207f96e9e6777c272ec51629764bfc190cbfd3f323fe6196c38f969e,0.05994542917942802,0.018338945242019948,0.10090451659981478,0.011329211764413405,0.11078582054805923
pilot,v7_leader_noninferiority,hacssmv8,hacssmv7_sharedaction,5,3,100000,b387010d207f96e9e6777c272ec51629764bfc190cbfd3f323fe6196c38f969e,-0.004055635887554999,-0.011485803911616755,0.0029205494017360343,-0.012992124571915382,0.00445344875355651
pilot,compact_redundant_equivalence,hacssmv8,hacssmv8_redundant,5,3,100000,b387010d207f96e9e6777c272ec51629764bfc190cbfd3f323fe6196c38f969e,0.005346704965687939,-0.005924858404909394,0.017853361428303238,-0.008638017861793362,0.020491986826080357
pilot,action_tying,hacssmv8_redundant,hacssmv8_levelaction,5,3,100000,b387010d207f96e9e6777c272ec51629764bfc190cbfd3f323fe6196c38f969e,-0.003826477763276285,-0.014514761813787809,0.0057177547508374315,-0.01728070672898865,0.00830325463233145
pilot,per_cell_endpoint_envelope,hacssmv8,"min(hacssmv8_dynamic,hacssmv8_static)_per_cell",5,3,100000,b387010d207f96e9e6777c272ec51629764bfc190cbfd3f323fe6196c38f969e,-0.016372616990938164,-0.035024478783165336,-0.0019927294893727692,-0.03826121794382916,-0.0005302975755734495
final,direct,hacssmv8,ssm,5,5,100000,b387010d207f96e9e6777c272ec51629764bfc190cbfd3f323fe6196c38f969e,0.062035640739721905,0.02071629610154138,0.10510486334141557,0.013957441991250978,0.1146375449221425
final,v7_leader_noninferiority,hacssmv8,hacssmv7_sharedaction,5,5,100000,b387010d207f96e9e6777c272ec51629764bfc190cbfd3f323fe6196c38f969e,-0.0022835395297511173,-0.010565928650759051,0.006214286357812286,-0.01260065880004873,0.00861598767014785
final,compact_redundant_equivalence,hacssmv8,hacssmv8_redundant,5,5,100000,b387010d207f96e9e6777c272ec51629764bfc190cbfd3f323fe6196c38f969e,0.0027444557990346976,-0.0051455919500155425,0.012699764512132297,-0.006563484344750267,0.01533785696710089
final,action_tying,hacssmv8_redundant,hacssmv8_levelaction,5,5,100000,b387010d207f96e9e6777c272ec51629764bfc190cbfd3f323fe6196c38f969e,0.0015534296205156894,-0.007820913774516474,0.01089636705502777,-0.009949226310589776,0.0132983438479402
final,per_cell_endpoint_envelope,hacssmv8,"min(hacssmv8_dynamic,hacssmv8_static)_per_cell",5,5,100000,b387010d207f96e9e6777c272ec51629764bfc190cbfd3f323fe6196c38f969e,-0.009600068426559137,-0.024449063639561498,0.0016771185092708024,-0.02832954711295106,0.004189054651394749
